event_id,event_date,year,event_type,actor_1,actor_2,country,fatalities,location,latitude,longitude,notes,closest_border_km,closest_border_temple_km,y_km,x_km,grid_x,grid_y,grid_id,days_since_last_event_in_area,total_events_in_area,total_fatalities_in_area,events_last_30_days_in_area,events_last_90_days_in_area,tempo_risk,border_risk,temple_risk,cluster
15.0,2026-07-28,2025,Skirmish,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,0,Chong Bok,14.333333,104.2,"RTAF reporting ceasefire violation by RCAF, RCAF reported to have fired on RTAF troops stationed on a hill after ceasefire",3.794420111447035,52.128235589269835,1593.793911507033,11225.844932334174,11220.0,1590.0,11220.0_1590.0,365.0,1,0,1.0,2.0,0.0027322404371584,0.2085757978556,0.0188223830305775,-1
58.0,2026-08-09,2025,Skirmish,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,0,Si Sa Ket,14.8004777,104.4712,Thai soldier injured after stepping on landmine placed by Cambodian troops,46.0082494174948,50.827866845011926,1645.7380321559274,11231.241018608593,11230.0,1640.0,11230.0_1640.0,365.0,1,0,0.0,1.0,0.0027322404371584,0.0212728619421389,0.0192946393682464,-1
53.0,2026-02-24,2026,Skirmish,Royal Cambodian Armed Forces,Thai Border Patrol Police,thailand,0,Phlan Hin Paet Kon in Kantharalak District,14.5709624,104.6985189,Cambodian troops fire 1 grenade launcher round at a Thai patrol who returned fire with small arms and 2 grenade launcher rounds,15.51155658078181,20.151076020533814,1620.2170952086235,11267.50189775146,11260.0,1620.0,11260.0_1620.0,365.0,2,0,2.0,3.0,0.0027322404371584,0.0605636419018133,0.0472789185301581,-1
59.0,2026-12-07,2025,Skirmish,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,0,Phu Pha Lek-Phlan Hin Paet Kon in Sisaket Province,14.5709624,104.6985189,"Cambodia fired on Thai patrol troops, who then returned fire",15.51155658078181,20.151076020533814,1620.2170952086235,11267.50189775146,11260.0,1620.0,11260.0_1620.0,286.0,2,0,0.0,0.0,0.0034843205574912,0.0605636419018133,0.0472789185301581,2
,2026-05-28,2025,Skirmish,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,1,Preah Vihear Province,14.3833,104.6667,Thai soldiers attacked Cambodian troops who had been on a routine border patrol,1.4471492202094902,1.6746972185439748,1599.3499884066816,11273.607240140502,11270.0,1590.0,11270.0_1590.0,365.0,3,1,0.0,0.0,0.0027322404371584,0.4086387506497843,0.373874094258927,-1
2.0,2026-07-24,2025,Troop Movement,Royal Cambodian Armed Forces,,cambodia,0,Angkrong,14.366667,104.7,RCAF preparing artillery against RTAF,3.4460135376181955,3.4036294557030895,1597.500483191803,11278.033040114124,11270.0,1590.0,11270.0_1590.0,57.0,3,1,0.0,0.0,0.0172413793103448,0.2249205926925082,0.2270854099008969,2
14.0,2026-07-25,2025,Airstrike,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Preah Vihear,14.383333,104.666667,RTAF airstriking Cambodian firebases along the Preah Vihear border area,1.446098575303853,1.676034744433301,1599.353657839261,11273.60202058704,11270.0,1590.0,11270.0_1590.0,1.0,3,1,0.0,0.0,0.5,0.4088142686055817,0.3736872258778419,2
4.0,2026-12-09,2025,Civilian Movement,Cambodian Civilians,,cambodia,0,Preah Vihear,14.383333,104.666667,Cambodian civilians flee after heavy fighting between RTAF and RCAF,1.446098575303853,1.676034744433301,1599.353657839261,11273.60202058704,11270.0,1590.0,11270.0_1590.0,137.0,3,1,0.0,0.0,0.0072463768115942,0.4088142686055817,0.3736872258778419,2
5.0,2026-07-23,2025,Artillery Strike,Royal Cambodian Armed Forces,Thai Civilians,thailand,7,Si Sa Ket Province,14.45,104.716667,"7 dead, 14 injured as a result of Cambodian BM-21 rocket strike",2.0447254702244453,7.678810252764386,1606.7666900138736,11275.614324111768,11270.0,1600.0,11270.0_1600.0,365.0,3,7,1.0,1.0,0.0027322404371584,0.3284368360232766,0.1152231666410126,-1
52.0,2026-09-23,2025,Skirmish,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,0,Pa Man Base in Sao Thong Chai Subdistrict,14.4493453,104.7253577,"Cambodian soldiers fired at a Thai defensive perimeter at the border, with the intent to provoke",2.3077755507603843,8.13723863769816,1606.6938906953994,11276.58331883594,11270.0,1600.0,11270.0_1600.0,62.0,3,7,0.0,0.0,0.0158730158730158,0.3023179731073718,0.1094422548924385,2
6.0,2026-12-09,2025,Artillery Strike,Royal Cambodian Armed Forces,Thai Border Patrol Police,thailand,0,Preah Vihear,14.4,104.666667,5 injuries reported after kamikaze drone and BM-21 artillery strike on Border Patrol Base,0.1981795107933282,1.8023572354550716,1601.206943681646,11272.760547556454,11270.0,1600.0,11270.0_1600.0,77.0,3,7,0.0,0.0,0.0128205128205128,0.8345994827919305,0.3568424422654348,2
57.0,2026-09-27,2025,Skirmish,Royal Thai Armed Forces,Royal Cambodian Armed Forces,thailand,0,Chong Ahn Ma,14.387997,104.950144,Thai sources reported gunfire at Chong Ahn Ma; Cambodia alleged Thai mortars/rifles fired toward An Ses,0.7321624871587518,29.065445371019713,1599.8722709771314,11303.899192769624,11300.0,1590.0,11300.0_1590.0,365.0,1,0,1.0,2.0,0.0027322404371584,0.5773130450598141,0.0332607745423224,-1
13.0,2026-12-08,2025,Artillery Strike,Royal Cambodian Armed Forces,Royal Thai Armed Forces,cambodia,0,Choam Ksant,14.216667,104.933333,Cambodian Military firing MLRS acorss the border,10.012121390534247,33.42702779174027,1580.8212441951189,11310.70785713712,11310.0,1580.0,11310.0_1580.0,365.0,1,0,1.0,1.0,0.0027322404371584,0.0908090243955697,0.029046945500184,-1
16.0,2026-05-28,2025,Skirmish,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,1,Chong Bok,14.3438805,105.2,Thai and Cambodian forces exchanged gunfire in disputed border area resulting in death of Cambodian soldier,0.114910905633647,56.22120945206583,1594.9667399958164,11333.0452717657,11330.0,1590.0,11330.0_1590.0,365.0,1,1,2.0,2.0,0.0027322404371584,0.896932656185349,0.0174760374619082,-1
