COUNTRY,CITY,RNUMBER(USEFUL??),PTYPE,BDAY,BMONTH,BYEAR,EDAY,EMONTH,EYEAR,ACTOR1,ACTOR2,ACTOR3,TARGET1,TARGET2,NPART,NDEATH,Deathdummy,ELOCAL,REPORTID1,REPORTID2,REPORTID3,COMMENT
Ivory Coast,Abidjan,39,51,25,1,2003,5,2,2003,Anti-Frence Rioters,,,Government,French embassy ,99,>1,1,"Working class districts, Abobo and Adjame",$#28B,$#29A,,"Serious rioting broke out in Abidjan on Jan. 25 in protest at government concessions made to rebel leaders. Violent rioting, often directed at Westerners and the French in particular, continued in early February"
Ivory Coast,Abidjan,40,40,99,1,2003,99,2,2003,Death-squads,,,Burkinabe migrants,,99,300,1,99,$#29B,,,"300 people, including many migrants from neighbouring Burkina Faso (which was reportedly financing the rebels) and Mali, had been murdered in Abidjan since the civil war began"
Ivory Coast,Abidjan,41,40,21,10,2003,21,10,2003,Policeman,,,French reporter,,1,1,1,99,$#30A,,,"A French reporter with Radio France Internationale, was shot dead by a policeman in Abidjan, on Oct. 21.  It was reported that the reporter had been shot as he waited to interview imprisoned opposition figures"
Ivory Coast,Abidjan,42,61,1,12,2003,3,12,2003,Government supporters,,,French army base,,12,0,0,99,$#31A,,,"Protesters loyal to the government laid siege to France's main army base in Abidjan on Dec. 1-3, prompting French troops to use teargas to try to disperse the crowd"
Ivory Coast,Abidjan,43,31,12,12,2003,12,12,2003,Brigade Nindja,,,Government,,99,19,1,99,$#31B,,,At least 19 people were shot dead in Abidjan on Dec. 12 as gun battles 
Ivory Coast,Abidjan,44,51,25,3,2004,25,3,2004,Opposition supporters,,,Government,,12,25,1,99,$#32A,,,Fresh violence erupted in Abidjan.  The fighting broke out on March 25 when supporters of the main opposition parties gathered to demonstrate in protest at what they regarded as the government's failure to respect the terms of the Marcoussis peace agreeme
Ivory Coast,Abidjan,45,40,26,3,2004,26,3,2004,Security forces ,,,Malian migrants,,11,>24,1,Abobo,$#32B,,,"Dozens of Malians had been summarily executed by security forces at a mosque in Abobo, a district of Abidjan, on March 26"
Ivory Coast,Abidjan,46,51,6,11,2004,8,11,2004,Anti-Frence Rioters,Young Patriots,,French forces,Frence community,5,50,1,99,$#33A,,,France's destruction of the entire Ivorian airforce prompted massive anti-French rioting in Abidjan.  On Nov. 6 tens of thousands of supporters of President Laurent Gbagbo (known as the Young Patriots) took to the streets and congregated around the city a
Ivory Coast,Abidjan,47,51,16,1,2006,20,1,2006,Young Patriots,,,Migrants,,12,-99,0,99,$#34A,,,"On Jan. 16 youths supporting Gbagbo-the so-called ""Young Patriots""-took to the streets of Abidjan, setting up roadblocks, taking control of many areas of the city, and attacking migrant businesses and shops"
Ghana,Accra,1,60,14,2,1961,16,2,1961,Demonstrators,,,Belgia,,99,0,0,99,$#1A,,,"Smaller-scale demonstrations occurred in Accra, Colombo, and other African and Asian cities and also in some Western capitals after the murder of Lumumba."
Ghana,Accra,2,60,6,9,1961,22,9,1961,Bus workers,Workers,,Government,,99,0,0,99,$#2A,,,"Strike by municipal workers and employees of the trading firm of A. G. Leventis and Co., which is heavily backed by Government loans against the Government's compulsory savings scheme and the price increases on sugar, flour, and other basic commodities, which it was claimed would reduce the workers' living standards below an adequate level. The president called upon all those on strike to return to work ""forthwith,"" declaring that ""by 7.30 a.m. on Sept. 19 there should be a full resumption of work throughout the country."" protest strike involving 3,000 workers in the petrol and motor industry occurred in Accra on Sept. 18, while the Takoradi strikers ignored the Sept. 19 deadline laid down by Dr. Nkrumah. The strike ended on Sept. 22."
Ghana,Accra,3,41,4,11,1961,4,11,1961,99,,,Government,,99,0,0,99,$#2B,,,"Two bomb explosions in Accra on Nov. 4, the first of which blasted away the feet of the life-size statue of President Nkrumah outside Parliament House, and the second slightly damaged a storeroom at the foot of the large ""Freedom and Justice"" archway in Black Star Square, where the Queen was to take the salute at a military parade in her honour; a night watchman was injured in the latter explosion."
